year,month,zone,pounds,molen
2014,10,E,1094630,31
2014,11,E,781940,30
2014,12,E,572854,31
2015,1,E,168304,31
2015,2,E,43167,28
2015,3,E,72456,31
2015,4,E,75187,30
2015,5,E,129773,31
2015,6,E,188423,30
2015,7,E,970517,31
2015,8,E,1192167,31
2015,9,E,973157,30
2015,10,E,911736,31
2015,11,E,887013,30
2015,12,E,619003,31
2016,1,E,306037,31
2016,2,E,131061,28
2016,3,E,68379,31
2016,4,E,77081,30
2016,5,E,158703,31
2016,6,E,560457,30
2016,7,E,1059948,31
2016,8,E,1086993,31
2016,9,E,831093,30
2016,10,E,1099852,31
2016,11,E,1141670,30
2016,12,E,635180,31
2008,1,F,156628,31
2008,2,F,80265,28
2008,3,F,43588,31
2008,4,F,52495,30
2008,5,F,88319,31
2008,6,F,234417,30
2008,7,F,1698821,31
2008,8,F,1907403,31
2008,9,F,1756349,30
2008,10,F,1642771,31
2008,11,F,819992,30
2008,12,F,318943,31
2009,1,F,186838,31
2009,2,F,70535,28
2009,3,F,51653,31
2009,4,F,97250,30
2009,5,F,107384,31
2009,6,F,272992,30
2009,7,F,1933405,31
2009,8,F,1949122,31
2009,9,F,2012381,30
2009,10,F,1672023,31
2009,11,F,1058306,30
2009,12,F,613396,31
2010,1,F,279741,31
2010,2,F,71761,28
2010,3,F,50415,31
2010,4,F,87241,30
2010,5,F,137620,31
2010,6,F,654385,30
2010,7,F,2369167,31
2010,8,F,2041109,31
2010,9,F,1887690,30
2010,10,F,2124628,31
2010,11,F,1297453,30
2010,12,F,514527,31
2011,1,F,236171,31
2011,2,F,54024,28
2011,3,F,82078,31
2011,4,F,92891,30
2011,5,F,148638,31
2011,6,F,347588,30
2011,7,F,2529544,31
2011,8,F,2672220,31
2011,9,F,2139130,30
2011,10,F,2257070,31
2011,11,F,1165869,30
2011,12,F,643294,31
2012,1,F,283268,31
2012,2,F,151091,28
2012,3,F,85925,31
2012,4,F,141128,30
2012,5,F,257891,31
2012,6,F,1838941,30
2012,7,F,2557652,31
2012,8,F,2006866,31
2012,9,F,1823392,30
2012,10,F,2270876,31
2012,11,F,1690239,30
2012,12,F,787573,31
2013,1,F,299247,31
2013,2,F,112252,28
2013,3,F,111261,31
2013,4,F,152601,30
2013,5,F,212009,31
2013,6,F,698551,30
2013,7,F,2755159,31
2013,8,F,2214753,31
2013,9,F,1932220,30
2013,10,F,2123181,31
2013,11,F,1174146,30
2013,12,F,680049,31
2014,1,F,228987,31
2014,2,F,165461,28
2014,3,F,134658,31
2014,4,F,136816,30
2014,5,F,217517,31
2014,6,F,181016,30
2014,7,F,1424489,31
2014,8,F,2483935,31
2014,9,F,2409023,30
2014,10,F,2352090,31
2014,11,F,1342899,30
2014,12,F,1016955,31
2015,1,F,286232,31
2015,2,F,121361,28
2015,3,F,135040,31
2015,4,F,153986,30
2015,5,F,177041,31
2015,6,F,229799,30
2015,7,F,2168229,31
2015,8,F,2527018,31
2015,9,F,2085786,30
2015,10,F,2052157,31
2015,11,F,1457470,30
2015,12,F,1120480,31
2016,1,F,577173,31
2016,2,F,249223,28
2016,3,F,159206,31
2016,4,F,155246,30
2016,5,F,271863,31
2016,6,F,968636,30
2016,7,F,2507604,31
2016,8,F,2234347,31
2016,9,F,2032783,30
2016,10,F,2448646,31
2016,11,F,1936160,30
2016,12,F,981382,31
2008,1,G,108697,31
2008,2,G,51019,28
2008,3,G,34057,31
2008,4,G,60494,30
2008,5,G,134440,31
2008,6,G,109053,30
2008,7,G,324808,31
2008,8,G,554482,31
2008,9,G,650803,30
2008,10,G,560899,31
2008,11,G,462138,30
2008,12,G,215262,31
2009,1,G,103358,31
2009,2,G,52921,28
2009,3,G,29914,31
2009,4,G,59773,30
2009,5,G,150049,31
2009,6,G,128168,30
2009,7,G,397378,31
2009,8,G,572593,31
2009,9,G,628315,30
2009,10,G,588591,31
2009,11,G,575994,30
2009,12,G,352792,31
2010,1,G,123534,31
2010,2,G,45437,28
2010,3,G,21538,31
2010,4,G,70250,30
2010,5,G,151235,31
2010,6,G,159157,30
2010,7,G,378883,31
2010,8,G,668770,31
2010,9,G,634682,30
2010,10,G,619468,31
2010,11,G,518215,30
2010,12,G,297421,31
2011,1,G,121894,31
2011,2,G,32581,28
2011,3,G,32058,31
2011,4,G,53680,30
2011,5,G,113470,31
2011,6,G,159707,30
2011,7,G,426848,31
2011,8,G,763862,31
2011,9,G,588877,30
2011,10,G,621549,31
2011,11,G,572356,30
2011,12,G,302604,31
2012,1,G,126648,31
2012,2,G,63677,28
2012,3,G,31784,31
2012,4,G,65193,30
2012,5,G,194065,31
2012,6,G,481947,30
2012,7,G,671459,31
2012,8,G,593050,31
2012,9,G,508866,30
2012,10,G,540855,31
2012,11,G,608491,30
2012,12,G,359943,31
2013,1,G,138631,31
2013,2,G,40856,28
2013,3,G,35330,31
2013,4,G,105396,30
2013,5,G,196711,31
2013,6,G,254236,30
2013,7,G,671566,31
2013,8,G,808075,31
2013,9,G,615027,30
2013,10,G,658037,31
2013,11,G,422985,30
2013,12,G,306764,31
2014,1,G,114313,31
2014,2,G,69678,28
2014,3,G,70835,31
2014,4,G,92847,30
2014,5,G,238316,31
2014,6,G,219573,30
2014,7,G,263152,31
2014,8,G,638508,31
2014,9,G,815274,30
2014,10,G,798189,31
2014,11,G,624488,30
2014,12,G,462804,31
2015,1,G,69375,31
2015,2,G,20821,28
2015,3,G,33541,31
2015,4,G,69132,30
2015,5,G,163861,31
2015,6,G,221073,30
2015,7,G,487011,31
2015,8,G,794164,31
2015,9,G,795124,30
2015,10,G,678051,31
2015,11,G,549249,30
2015,12,G,406366,31
2016,1,G,147253,31
2016,2,G,52680,28
2016,3,G,46677,31
2016,4,G,95925,30
2016,5,G,192712,31
2016,6,G,351851,30
2016,7,G,653402,31
2016,8,G,793793,31
2016,9,G,667978,30
2016,10,G,786200,31
2016,11,G,785101,30
2016,12,G,370747,31
