t,zone_avg,zone
1991-07-16,11.35836726334421,A
1991-08-16,12.796007227579546,A
1991-09-15,11.734498475327419,A
1991-10-16,10.782067247322107,A
1991-11-16,8.78677476228215,A
1991-12-16,6.312700210224046,A
1992-01-16,3.8656265959706024,A
1992-02-15,2.1911107550622044,A
1992-03-16,1.6810422178736768,A
1992-04-16,2.6570591934891974,A
1992-05-16,4.70263163311118,A
1992-06-16,8.10673942039255,A
1992-07-16,10.53242220026057,A
1992-08-16,12.180556565585162,A
1992-09-16,11.566711193053433,A
1992-10-16,9.553927315128268,A
1992-11-15,7.95911306104139,A
1992-12-16,5.997209478384756,A
1993-01-16,3.9930228365985645,A
1993-02-14,2.354412987158861,A
1993-03-16,1.7364667558802342,A
1993-04-16,2.785156413208116,A
1993-05-16,4.795873800681647,A
