Year,Average,Std,Model,Area
2001,271.884629,29.3506483,CMIP5_RCP_8.5_95th,GoM
2002,297.336782,31.5335866,CMIP5_RCP_8.5_95th,GoM
2003,323.198086,33.3565746,CMIP5_RCP_8.5_95th,GoM
2004,349.923102,35.8551303,CMIP5_RCP_8.5_95th,GoM
2005,373.792931,38.3574627,CMIP5_RCP_8.5_95th,GoM
2006,402.743514,41.6310689,CMIP5_RCP_8.5_95th,GoM
2007,434.547717,45.423917,CMIP5_RCP_8.5_95th,GoM
2008,468.622953,47.3168303,CMIP5_RCP_8.5_95th,GoM
2009,499.567512,48.4501164,CMIP5_RCP_8.5_95th,GoM
2010,518.258771,48.5360356,CMIP5_RCP_8.5_95th,GoM
2011,530.073229,48.5427188,CMIP5_RCP_8.5_95th,GoM
2012,526.671486,46.9503901,CMIP5_RCP_8.5_95th,GoM
2013,508.498957,44.6154267,CMIP5_RCP_8.5_95th,GoM
2014,498.496902,43.3835076,CMIP5_RCP_8.5_95th,GoM
2015,484.019984,40.8296815,CMIP5_RCP_8.5_95th,GoM
2016,478.534044,40.5854846,CMIP5_RCP_8.5_95th,GoM
2017,469.230896,41.8601316,CMIP5_RCP_8.5_95th,GoM
2018,457.363414,42.0625424,CMIP5_RCP_8.5_95th,GoM
2019,436.186963,41.7223615,CMIP5_RCP_8.5_95th,GoM
2020,407.195318,40.8077674,CMIP5_RCP_8.5_95th,GoM
2021,381.743743,38.4422266,CMIP5_RCP_8.5_95th,GoM
2022,359.062421,35.1595756,CMIP5_RCP_8.5_95th,GoM
2023,338.642413,31.6881878,CMIP5_RCP_8.5_95th,GoM
2024,322.437847,29.1101596,CMIP5_RCP_8.5_95th,GoM
2025,307.099087,27.0557507,CMIP5_RCP_8.5_95th,GoM
2026,291.774979,24.623917,CMIP5_RCP_8.5_95th,GoM
2027,281.057183,22.6460193,CMIP5_RCP_8.5_95th,GoM
2028,271.728117,21.464138,CMIP5_RCP_8.5_95th,GoM
2029,263.133668,20.7941863,CMIP5_RCP_8.5_95th,GoM
2030,252.725457,20.4906392,CMIP5_RCP_8.5_95th,GoM
2031,244.638876,19.1099638,CMIP5_RCP_8.5_95th,GoM
2032,242.993454,18.5307429,CMIP5_RCP_8.5_95th,GoM
2033,236.943681,17.7677341,CMIP5_RCP_8.5_95th,GoM
2034,232.227421,17.6575523,CMIP5_RCP_8.5_95th,GoM
2035,227.511435,17.2778512,CMIP5_RCP_8.5_95th,GoM
2036,218.676774,15.6031496,CMIP5_RCP_8.5_95th,GoM
2037,212.424728,14.8107109,CMIP5_RCP_8.5_95th,GoM
2038,209.203464,14.2441296,CMIP5_RCP_8.5_95th,GoM
2039,211.841112,14.9925642,CMIP5_RCP_8.5_95th,GoM
2040,212.114762,15.8097351,CMIP5_RCP_8.5_95th,GoM
2041,212.013734,15.8347592,CMIP5_RCP_8.5_95th,GoM
2042,215.366287,16.1175534,CMIP5_RCP_8.5_95th,GoM
2043,215.913813,16.0754667,CMIP5_RCP_8.5_95th,GoM
2044,215.245871,16.0298581,CMIP5_RCP_8.5_95th,GoM
2045,212.136909,15.5138148,CMIP5_RCP_8.5_95th,GoM
2046,207.242472,14.9411475,CMIP5_RCP_8.5_95th,GoM
2047,198.19814,13.9862393,CMIP5_RCP_8.5_95th,GoM
2048,192.296397,12.9920386,CMIP5_RCP_8.5_95th,GoM
2049,192.509108,13.4942347,CMIP5_RCP_8.5_95th,GoM
2050,190.657893,14.1521581,CMIP5_RCP_8.5_95th,GoM
