Mean,Date,low,high
7.444987714290619,1989-05-01,6.362656652927399,8.571493744850159
11.19477367401123,1989-06-01,10.3647221326828,12.288462519645691
15.041631579399109,1989-07-01,13.858429431915283,16.08571422100067
16.746716260910034,1989-08-01,15.402622938156128,18.207966208457947
15.152615308761597,1989-09-01,14.085469365119934,16.393410205841064
12.092754244804382,1989-10-01,11.046003580093384,13.498215675354004
9.419341444969177,1989-11-01,8.355070650577545,11.077432632446289
7.592717528343201,1989-12-01,6.273773670196533,8.99987107515335
5.710560083389282,1990-01-01,4.376249998807907,6.999856352806091
4.259350478649139,1990-02-01,2.8980073034763336,5.497185230255127
3.590969890356064,1990-03-01,2.520120546221733,5.024313807487488
4.68750923871994,1990-04-01,3.6031576693058014,6.279051244258881
7.61832582950592,1990-05-01,6.660339653491974,8.856968343257904
